Row,Body Weight,Heart Weight,EndoEpi,HR,MBP, dPLVdtmax,Average Flow, Max LV Pressure, Min LV Pressure,Flow Pulsatility,dPLVdtmin,LVEDP,Venous O2 Content,O2_Extration,Hyperemic Flow,CFR,Average Flow- HW Normalized,CCV value,CCV percent,MSE,Mode1,Mode2,Mode3,Mode4,Mode5
OSS1193,41,161,0.443134535367545,76.7296133680038,100.046370541901,1871.424,44.3791515832481,127.337597,4.71895,113.014546,-2255.132,10.7375684736842,3.3,0.777027027027027,NaN,NaN,0.275646904243777,5.42888888888889,0.00694260909103827,0.0697450554628682,-0.0747267079451846,0.592720350861382,0.67726559618911,0.324424968140596,-0.148470085777979
OSS1194,50.1,175.6,1.0199370409234,58.3790095028054,147.087665804016,3641.87099999999,51.3836595078486,188.710872,5.748906,119.885484,-3830.36099999998,13.4754605084746,3.6,0.764705882352941,NaN,NaN,0.292617650955857,22.5866666666667,0.0219764537995005,0.0940105046514872,-0.124603219324617,-0.918741234950897,-0.467291475868997,1.07050646663511,0.33918780451861
OSS1195,41.5,180.7,0.640977443609023,46.6841299893664,127.967061641242,2908.11199999999,30.7981762184242,177.569842,13.847189,89.476942,-3338.943,27.3904263043478,6.6,0.604790419161677,NaN,NaN,0.170438163909376,15.3555555555556,0.0119476791935749,0.0583283504720523,0.774685073181348,-1.16249563972491,-0.799632439454334,0.51230528476229,0.182474094852063
OSS1196,46,175,0.802325581395349,46.0216813254244,127.399152015494,3103.33200000001,27.5619388794232,174.54729,12.635476,80.996596,-3130.259,24.0948003913044,5.6,0.737089201877934,NaN,NaN,0.157496793596704,15.6888888888889,0.0120338174132406,0.0642357464731491,1.07594372215279,-1.29335850117622,-1.44277636134192,-0.0675312573837661,0.0240833741781538
OSS1202,34.1,123,0.966926070038911,64.4652961822219,96.5913597681397,2436.88999999999,23.8766835136093,118.909458,6.900034,80.594243,-1157.86,11.25704728125,2.3,0.850649350649351,NaN,NaN,0.194119378159425,5.48444444444444,0.00589260559176754,0.102674806389571,-0.43074275957314,-0.836145857532784,0.130934783877002,-0.61772918281869,0.828144221417427
OSS1348,71.9,231,1.34418604651163,76.0167236792094,79.336857593201,2200.722,27.2508232375844,100.097993,0.595539,115.629025,-1871.32800000001,8.09773933333333,8.6,0.497076023391813,71.17,2.61166421944428,0.117968931764435,3.53999999999999,0.00448498669707335,0.0679280435049162,1.60535354970571,-0.677921170848262,0.219015846552459,1.29871735430016,-0.164746213505892
OSS1349,78.1,295,1.29471032745592,71.476789897947,128.412390010245,1217.307,61.0415013253255,145.929528,3.197507,91.252868,-1815.556,16.136017625,7.4,0.525641025641026,160.25,2.62526308365082,0.20692034347568,3.48222222222221,0.00414830110259565,0.0353084834856903,-0.307082663729992,1.695285873466,-0.955388665487139,-0.161222043900354,0.664346031415458
OSS1350,75.4,220.1,0.957915831663327,64.7435436299547,94.0059272965254,1641.915,13.5928231038774,120.67498,13.231881,44.029043,-2391.19500000001,22.7235634,8.5,0.401408450704225,34.58,2.54398955505688,0.0617574879776348,1.33777777777777,0.00144354123204565,0.0596855279739196,-2.73038503281161,-0.253573369786109,0.00416305680497016,1.23170583226287,-4.84484795896939
OSS1415,69.7,206.9,NaN,103.57923811716,105.101000997698,2019.843,18.3399850159973,106.42512,-4.787432,54.187737,-1858.256,6.96805417142857,9.6,0.445086705202312,NaN,NaN,0.0886417835475943,3.93333333333333,0.00679019449879158,0.0763121238649261,0.656557971242711,1.03757169471144,-1.21101327941573,-0.912614867962612,0.0331239970004168
OSS1416,76.2,257.1,NaN,90.139716560669,208.428441461192,4161.203,77.4995985751626,177.220159,-5.872793,129.199475,-4200.46000000001,1.76524005555556,NaN,NaN,NaN,NaN,0.301437567386863,2.05777777777778,0.00309145842722887,0.0543776988101595,-0.345853952675928,2.28200688848661,-1.92282026045907,1.82032558701625,0.87449305655898
OSS1377,73.8,196.5,0.838196286472148,38.142866224492,149.022266925072,2774.69600000001,24.4419809804628,188.870411,-4.385954,42.676546,-3379.006,8.36915552631579,NaN,NaN,137.81,5.63825003014918,0.124386671656299,23.36,0.0148502892500689,0.0936883458669698,0.757342771222224,-1.38536372551116,-2.38524620863604,-1.25289555136029,-0.409879388579068
OSS1379,62,194.4,1.35,78.4484637175855,79.301608813693,2095.339,37.2334804480519,92.654562,-5.899025,106.76187,-1842.156,1.40606057692308,NaN,NaN,NaN,NaN,0.191530249218374,1.14444444444443,0.00149633180794653,0.0465612848888179,-1.2249472928515,0.566673827572111,0.689573278963286,1.89220321835626,0.501592171132898
York1359,NaN,268.9,NaN,77.4593338497289,102.609838093468,2871.83,44.0231335253034,111.358382,-11.617232,93.873358,-3207.908,7.41349294871795,NaN,NaN,NaN,NaN,0.163715632299381,6.05333333333334,0.00781478612617265,0.0711973237317843,-0.309362514281514,-0.36773743449329,0.78133466715625,0.131340262568085,-0.198024345710658
York1337,NaN,NaN,NaN,125.418060200669,90.386959421544,1844.269,37.8541803596014,111.323813,-2.620282,95.599585,-2862.71599999999,0.865959433333333,NaN,NaN,104.74,2.76693350655084,NaN,0.519999999999997,0.00108695652173912,0.0632501514474867,0.247765832728585,0.511648888006411,0.624791878885828,-1.32839374464614,-0.626848549038063
YorkD1,NaN,NaN,NaN,115.949497552177,111.824030791549,3087.85,80.8656120595207,176.441699,3.62943,182.013262,-2932.28599999999,6.73018453846154,NaN,NaN,150.64,1.86284374981447,NaN,8.22666666666667,0.0158979644421541,0.0871990605452003,0.858452591812998,1.40448517479053,-0.346671023390149,-0.706408247086553,-0.492011152638109
YorkD2,NaN,NaN,NaN,104.196816208394,87.2495041752143,2908.643,16.410852050301,109.266913,1.944857,61.373131,-2872.995,13.6233912948718,NaN,NaN,46.92,2.85908372436637,NaN,14.7222222222222,0.0255668113844669,0.0694807051882067,-0.643022604166394,1.15296991305792,-0.513618756030248,-0.488530495102419,-0.505853258553064
YorkD4,NaN,NaN,NaN,107.739270964266,87.4830797544889,3762.467,22.5825080166986,115.884862,2.825029,76.792266,-3525.802,14.8132435961538,NaN,NaN,60.76,2.69057803300993,NaN,14.8,0.0265756868378524,0.0815710411286999,-0.768978550794883,1.20670206488712,-0.521055649589067,-1.08497530640341,-0.719383445570545
YorkD5,NaN,NaN,NaN,83.8926174496644,123.521958769295,4086.979,39.8380565938665,135.347877,0.626728,59.21929,-4881.52699999999,8.8621824047619,NaN,NaN,82.45,2.06962906952379,NaN,2.93333333333333,0.00410141685309471,0.0526743171517411,-1.17797917294332,0.320043132635257,0.121805500529267,1.18528893203158,1.19972506783504
YorkD6,NaN,NaN,NaN,98.6031224322103,94.6513785149538,2716.409,37.5583761886503,108.870141,-7.474207,76.241435,-3148.421,9.86072483333333,NaN,NaN,104.53,2.78313416626323,NaN,2.16666666666667,0.00356066831005204,0.0719110198590752,-0.188152668550972,0.190923830000265,0.642102013433333,1.01600676846597,0.312369371891402
YorkD7,NaN,NaN,NaN,88.9328063241107,118.444945326877,6425.819,49.9266121378952,135.919822,-16.572665,88.303536,-5496.30099999999,0.462888753623188,NaN,NaN,NaN,NaN,NaN,6.91111111111111,0.0102437417654809,0.0890792804492924,-1.19285026835705,0.393308667777769,0.810262051241676,1.69449882372704,0.567259150309862
