Row,Body Weight,Heart Weight,EndoEpi,HR,MBP, dPLVdtmax,Average Flow, Max LV Pressure, Min LV Pressure,Flow Pulsatility,dPLVdtmin,LVEDP,Venous O2 Content,O2_Extration,Hyperemic Flow,CFR,Average Flow- HW Normalized,CCV value,CCV percent,MSE,Mode1,Mode2,Mode3,Mode4,Mode5,Row Type
OSS1145,52,195,0.534166054371785,79.4246128050126,98.0586751750351,1298.701,34.9137848135809,112.012987,10.064935,72.422681,-2056.27699999999,19.220231278481,2.2,0.82258064516129,NaN,NaN,0.179045050326056,1.83333333333333,0.00242686316904205,0.884930312319018,0.45948319460273,0.787490582936623,-0.151125828240291,-0.660923775033699,-0.532636254686888,3
OSS1146,67.5,218,1.10064239828694,68.8336520076482,89.6405939020268,1406.927,43.5376544759081,118.181818,11.363636,87.693299,-2489.17700000001,21.110170057971,2.4,0.813953488372093,NaN,NaN,0.199714011357377,1.06666666666667,0.00122370936902486,1.40249164451768,0.034303633827069,-0.449355735972037,-0.620906538870865,-0.266884543557913,1.66324438427632,3
OSS1147,67.8,254,1.39291465378422,58.0645161290323,102.70056872,1839.827,34.6277955316774,125.324675,10.606061,76.159794,-2705.628,25.0685424666667,1.7,0.860655737704918,NaN,NaN,0.136329903668021,11.8888888888889,0.011505376344086,2.36329447021501,0.489225062459295,-0.687746441344591,0.0120061148336073,0.0407663118303074,0.704521484761745,3
OSS1177,74.6,277,1.01717791411043,56.5220121836337,121.041325233655,1460.19799999999,40.0892966573509,151.456833,11.271112,107.590454,-2287.86700000001,24.2918905178571,2.4,0.836734693877551,NaN,NaN,0.144726702734119,20.0666666666667,0.0189034729636375,5.39636324373904,0.188281104834656,-0.440201712932724,-0.482935504577482,-0.100260286382293,0.521767413259338,3
OSS1178,68.4,225,0.954204204204204,63.5974984983924,112.892888183437,1823.565,46.2756362382349,145.414171,14.474127,117.502321,-2442.635,31.7513403,3.5,0.78125,NaN,NaN,0.205669494392155,15.0622222222222,0.0159653275860038,4.39795001785693,-0.104541665815075,-0.499277080325471,-0.646582544278093,-1.40845439677848,0.516572313308167,3
OSS1179,72.5,222,0.913625304136253,57.6756704796693,116.787259605479,2079.268,64.7593944093238,147.48671,5.497611,145.914578,-2792.54399999999,22.2535495333333,3.3,0.795031055900621,NaN,NaN,0.291708983825783,3.9,0.00374891858117851,3.03568588014563,-1.03691310164343,-0.960542777421266,-0.384991150348856,-0.0273754344039241,1.25666338166672,3
OSS1197,55.7,223,0.821022727272727,56.1569899853368,113.49399290672,3001.548,54.1436620588693,146.550912,10.155461,134.56621,-2133.388,19.6100488035714,5.4,0.625,NaN,NaN,0.242796690846947,9.79555555555556,0.00916814858723573,3.86864935712263,-0.428903165949605,-1.5184492716609,0.834272296099456,-1.3287175649069,0.160607225989308,2
OSS1198,63.6,237,0.898550724637681,92.9704044212592,106.825149874083,1131.00900000001,88.1773498498089,122.862529,20.499529,186.544901,-1696.513,41.5927211397849,2.8,0.820512820512821,NaN,NaN,0.372056328480207,1.61555555555556,0.0025033142227502,2.70187764438074,-2.31064544416728,0.755628023431545,-2.08159914880981,-0.468753806198411,-1.01014026490583,2
OSS1199,58,265,0.769832402234637,83.7754817090198,101.554885563716,774.202000000002,93.5167248478544,119.126161,15.982227,192.161339,-1824.425,37.5618520625,4.4,0.719745222929936,NaN,NaN,0.352893301312658,2.04000000000001,0.00284836637810669,3.12914549394486,-2.48175205689281,-0.364654310358144,-1.73200960039177,-2.69016884989289,0.75743864378866,2
OSS1201,58.5,237,1.24463519313305,51.9405569181936,168.915211041638,2046.17400000001,54.6307719720107,140.539813,9.241435,138.03653,-2429.832,23.9151017,2.4,0.843137254901961,NaN,NaN,0.230509586379792,15.2666666666667,0.0132159861491848,3.976411930599,-0.428262739351646,-1.91567831375077,1.70614958397445,-0.863543819494206,-0.173477348954863,2
OSS1169,57.2,217,1.21654135338346,96.7429861335053,108.214609399065,1367.543,48.5837254843061,102.324824,5.379005,113.778904,-2005.731,8.99702611458333,2.6,0.815602836879433,NaN,NaN,0.223888135872378,2.32,0.0037407287971622,3.80889842957665,-0.302515157576081,0.536077529909469,-1.28477656252391,0.509959044431135,-0.300558300551536,1
OSS1172,69.2,255,NaN,61.3580583583311,111.077864363717,1999.05700000001,40.8533583663077,121.942519,3.446187,107.4121,-3190.41499999999,12.5741909508197,1.8,0.854838709677419,NaN,NaN,0.160209248495324,20.0177777777778,0.0204708662848832,3.54353154647368,0.188480214251453,-1.21595351402101,1.29300154894179,0.473392959217077,-1.91628528946436,1
OSS1193,41,161,0.443134535367545,76.7296133680038,100.046370541901,1871.424,44.3791515832481,127.337597,4.71895,113.014546,-2255.132,10.7375684736842,3.3,0.777027027027027,NaN,NaN,0.275646904243777,5.42888888888889,0.00694260909103827,3.58031007271607,-0.0493304027013363,0.555621804309998,-0.675287492802429,0.388602378653323,0.647720404324876,1
OSS1194,50.1,175.6,1.0199370409234,58.3790095028054,147.087665804016,3641.87099999999,51.3836595078486,188.710872,5.748906,119.885484,-3830.36099999998,13.4754605084746,3.6,0.764705882352941,NaN,NaN,0.292617650955857,22.5866666666667,0.0219764537995005,4.66355517783504,-0.351413583002003,-0.941631297281077,0.769148820126673,1.00682215421307,-0.0829955869313843,1
